possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
MTL,3,2,23.0,86.0,1721,9.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete short right to #25 W.Fletcher thrown to MTL35,6401,19-3	,Long (8+),Own Deep,Leading 8+,Early Half
WPG,3,1,10.0,63.0,1686,-9.0,1,Nothing,Shotgun #8 Z.Collaros pass incomplete short left to #25 M.Chris-Ike thrown to WPG53,6401,20-1	,Long (8+),Own Territory,Trailing 8+,Early Half
WPG,3,2,10.0,63.0,1666,-9.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #10 N.Demski caught at WPG41, for 17 yards to the MTL46 fumbled by #10 N.Demski at MTL48 forced by #1 D.Sankey recovered by MTL #22 D.Ruffin at MTL46 #22 D.Ruffin return 0 yards to the MTL46 (#61 G.Wallace)",6401,20-2	,Long (8+),Own Territory,Trailing 8+,Early Half
MTL,3,1,10.0,64.0,1650,9.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete deep left to #85 T.Snead caught at WPG31, for 47 yards to the WPG17 (#30 T.Ford), 1ST DOWN",6401,21-1	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,3,1,10.0,17.0,1600,9.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #6 T.Philpot caught at WPG13, for 4 yards to the WPG13 (#30 T.Ford)",6401,21-2	,Long (8+),Red Zone,Leading 8+,Early Half
MTL,3,2,6.0,13.0,1559,9.0,0,Nothing,Shotgun #7 C.Fajardo rush middle for 2 yards gain to the WPG11 (#41 B.Cole),6401,21-3	,Medium (4-7),Red Zone,Leading 8+,Early Half
WPG,3,1,10.0,70.0,1500,-12.0,0,Nothing,#17 C.Streveler rush right for 7 yards gain to the WPG47 (#22 D.Ruffin),6401,22-1	,Long (8+),Own Territory,Trailing 8+,Early Half
WPG,3,2,3.0,63.0,1465,-12.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 3 yards loss to the WPG44 fumbled by #20 B.Oliveira at WPG44 recovered by WPG #20 B.Oliveira at WPG44 advances 0 yards to the WPG44 (#94 M.Johnson),6401,22-2	,Short (1-3),Own Territory,Trailing 8+,Early Half
MTL,3,1,10.0,65.0,1403,12.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 2 yards gain to the MTL47 (#90 M.Fox) PENALTY MTL Offside declined,6401,23-1	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,3,2,8.0,63.0,1383,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #11 K.Julien-Grant caught at MTL49, for 10 yards to the WPG53 (#6 R.Kramdi), out of bounds, 1ST DOWN",6401,23-2	,Long (8+),Own Territory,Leading 8+,Early Half
MTL,3,1,10.0,53.0,1358,12.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short middle to #39 D.Dallaire caught at WPG48, for 6 yards to the WPG47 (#37 B.Alexander)",6401,23-3	,Long (8+),Midfield,Leading 8+,Early Half
MTL,3,2,4.0,47.0,1319,12.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete short right to #6 T.Philpot thrown to WPG41,6401,23-4	,Medium (4-7),Midfield,Leading 8+,Early Half
WPG,3,1,10.0,70.0,1279,-13.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 6 yards gain to the WPG46 (#94 M.Johnson),6401,24-1	,Long (8+),Own Territory,Trailing 8+,Early Half
WPG,3,2,4.0,64.0,1242,-13.0,0,Nothing,Shotgun #10 N.Demski rush right for 2 yards gain to the WPG48 (#0 S.Lemon),6401,24-2	,Medium (4-7),Own Territory,Trailing 8+,Early Half
MTL,3,1,10.0,83.0,1180,13.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short right to #6 T.Philpot caught at MTL26, for 2 yards to the MTL29 (#30 T.Ford)",6401,25-1	,Long (8+),Own Deep,Leading 8+,Early Half
MTL,3,2,8.0,81.0,1145,13.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #6 T.Philpot caught at MTL35, for 6 yards to the MTL35 (#31 E.Holm)",6401,25-2	,Long (8+),Own Deep,Leading 8+,Early Half
WPG,3,1,10.0,83.0,1048,-13.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #83 D.Schoen caught at WPG33, for 7 yards to the WPG34 (#12 N.Murray)",6401,26-1	,Long (8+),Own Deep,Trailing 8+,Early Half
WPG,3,2,3.0,76.0,1028,-13.0,0,Nothing,Shotgun #17 C.Streveler rush left for 2 yards gain to the WPG36 (#12 N.Murray),6401,26-2	,Short (1-3),Own Territory,Trailing 8+,Early Half
WPG,3,3,1.0,74.0,989,-13.0,0,Nothing,"#17 C.Streveler rush left for 12 yards gain to the WPG48 (#2 R.Stubblefield), 1ST DOWN",6401,26-3	,Short (1-3),Own Territory,Trailing 8+,Early Half
WPG,3,1,10.0,62.0,943,-13.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete deep middle to #82 D.Wolitarsky caught at MTL40, for 25 yards to the MTL37 (#24 M.Dequoy), 1ST DOWN. #2 R.Stubblefield injured on the play",6401,26-4	,Long (8+),Own Territory,Trailing 8+,Early Half
WPG,3,1,10.0,37.0,923,-13.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #20 B.Oliveira caught at MTL37, for 5 yards to the MTL32 (#30 B.Cosby)",6401,26-5	,Long (8+),Opponent Territory,Trailing 8+,Early Half
