possession_team,down,distance_bucket,field_bucket,score_bucket,time_bucket,plays,pass_prob_hist,avg_yards,avg_yards_to_endzone,avg_score_diff,avg_seconds_in_half,league_plays,league_pass_prob_hist,pass_prob_delta_vs_league
BC,2,Medium (4-7),Midfield,Leading 8+,Early Half,6,0.8333333333333334,5.166666666666667,49.333333333333336,14.5,1000.3333333333334,32,0.75,0.08333333333333337
BC,2,Medium (4-7),Midfield,Tied,Early Half,5,1.0,4.6,48.8,0.0,1428.4,37,0.8648648648648649,0.1351351351351351
BC,2,Medium (4-7),Midfield,Trailing 1-7,2-min,1,1.0,4.0,54.0,-4.0,50.0,18,0.8333333333333334,0.16666666666666663
BC,2,Medium (4-7),Midfield,Trailing 1-7,Early Half,1,1.0,4.0,56.0,-6.0,862.0,43,0.8837209302325582,0.11627906976744184
BC,2,Medium (4-7),Midfield,Trailing 1-7,Late Half,4,1.0,5.75,49.5,-3.25,293.5,22,0.9545454545454546,0.045454545454545414
BC,2,Medium (4-7),Midfield,Trailing 8+,2-min,1,0.0,6.0,52.0,-16.0,0.0,12,0.5833333333333334,-0.5833333333333334
BC,2,Medium (4-7),Midfield,Trailing 8+,Early Half,4,1.0,6.25,49.25,-11.25,1341.0,28,0.8214285714285714,0.1785714285714286
BC,2,Medium (4-7),Opponent Territory,Leading 1-7,2-min,1,1.0,6.0,37.0,5.0,107.0,7,0.42857142857142855,0.5714285714285714
BC,2,Medium (4-7),Opponent Territory,Leading 1-7,Early Half,8,0.875,5.375,33.875,5.5,1202.125,30,0.8333333333333334,0.04166666666666663
BC,2,Medium (4-7),Opponent Territory,Leading 1-7,Late Half,3,0.6666666666666666,5.333333333333333,32.0,4.666666666666667,304.3333333333333,14,0.7142857142857143,-0.04761904761904767
BC,2,Medium (4-7),Opponent Territory,Leading 8+,Early Half,2,0.5,5.0,36.0,17.0,668.5,19,0.7894736842105263,-0.2894736842105263
BC,2,Medium (4-7),Opponent Territory,Leading 8+,Late Half,3,0.6666666666666666,6.333333333333333,34.0,13.666666666666666,173.33333333333334,11,0.6363636363636364,0.030303030303030276
BC,2,Medium (4-7),Opponent Territory,Tied,Early Half,3,1.0,5.666666666666667,29.333333333333332,0.0,1662.6666666666667,27,0.8518518518518519,0.14814814814814814
BC,2,Medium (4-7),Opponent Territory,Trailing 1-7,Early Half,6,0.8333333333333334,5.333333333333333,31.333333333333332,-4.666666666666667,1215.5,35,0.8,0.033333333333333326
BC,2,Medium (4-7),Opponent Territory,Trailing 1-7,Late Half,2,1.0,6.0,33.5,-3.5,200.0,13,1.0,0.0
BC,2,Medium (4-7),Opponent Territory,Trailing 8+,Early Half,1,1.0,4.0,33.0,-19.0,900.0,20,0.95,0.050000000000000044
BC,2,Medium (4-7),Opponent Territory,Trailing 8+,Late Half,3,0.6666666666666666,5.333333333333333,29.666666666666668,-13.0,159.66666666666666,22,0.7727272727272727,-0.10606060606060608
BC,2,Medium (4-7),Own Deep,Leading 1-7,Early Half,4,0.75,5.75,92.25,5.5,1342.5,29,0.8275862068965517,-0.07758620689655171
BC,2,Medium (4-7),Own Deep,Leading 1-7,Late Half,1,1.0,6.0,96.0,1.0,564.0,10,0.9,0.09999999999999998
BC,2,Medium (4-7),Own Deep,Leading 8+,2-min,1,0.0,5.0,81.0,24.0,55.0,4,0.5,-0.5
